Id,SinkCreatedOn,SinkModifiedOn,statecode,statuscode,dfeta_allreports,dfeta_individualteacherreport,dfeta_section128barringdirectionreport,dfeta_inductionfailreport,dfeta_othereeamemberstatereport,dfeta_blockselfserviceaccess,dfeta_prohibitedteacherreport,dfeta_gtcsanctionreport,createdonbehalfby,createdonbehalfby_entitytype,modifiedonbehalfby,modifiedonbehalfby_entitytype,createdby,createdby_entitytype,organizationid,organizationid_entitytype,modifiedby,modifiedby_entitytype,modifiedbyyominame,createdbyname,modifiedon,dfeta_sanctioncodeid,modifiedbyname,createdonbehalfbyyominame,modifiedonbehalfbyname,importsequencenumber,createdon,modifiedonbehalfbyyominame,versionnumber,overriddencreatedon,createdonbehalfbyname,timezoneruleversionnumber,createdbyyominame,organizationidname,dfeta_name,dfeta_value,utcconversiontimezonecode,dfeta_restrictportalalertsharing
43790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,1,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:16.0000000,43790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994164,2020-11-26 15:30:16.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Prohibition Order  -  conviction of a relevant offence  -  eligible to reapply after specified time,A21B,NULL,NULL
45790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,45790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994242,2020-11-26 15:30:17.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,No Sanction  -  breach of condition(s),A22,NULL,NULL
47790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,0,1,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,47790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994245,2020-11-26 15:30:17.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Suspension order  -  without conditions  -  (arising from breach of previous condition(s)),A23,NULL,NULL
49790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,0,1,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,49790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994206,2020-11-26 15:30:17.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Suspension order  -  with conditions  -  (arising from breach of previous condition(s)),A24,NULL,NULL
4B790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,1,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,4B790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994220,2020-11-26 15:30:17.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Prohibition order  -  breach of condition(s)  -  ineligible to reapply,A25A,NULL,NULL
4D790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,1,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,4D790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994217,2020-11-26 15:30:17.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Prohibition Order  -  breach of condition(s)  -  eligible to reapply after specified time,A25B,NULL,NULL
4F790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,4F790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994227,2020-11-26 15:30:17.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Refer to Professional Standards  -  discontinued hearing,A26,NULL,NULL
51790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2022-02-15 09:41:17.0000000,1,2,0,1,NULL,0,NULL,NULL,0,1,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,F2D4A03E-1AF1-EA11-A815-000D3A239E28,systemuser,Robert COLLIER,NULL,2022-02-15 09:41:00.0000000,51790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,96032826,2020-11-26 15:30:17.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Conditional Registration Order  -  unacceptable professional conduct,A3,NULL,0
53790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,0,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,53790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994224,2020-11-26 15:30:17.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Reprimand  -  unacceptable professional conduct,A4,NULL,NULL
55790CD0-C83B-E311-82EC-005056B1356A,2020-11-10 14:30:52.0000000,2020-11-26 15:30:41.0000000,1,2,0,1,NULL,0,NULL,NULL,1,0,NULL,NULL,NULL,NULL,59996EC7-E325-EB11-A815-000D3A239136,systemuser,D7C9904C-41E8-44AC-A04C-1A77691A8590,organization,59996EC7-E325-EB11-A815-000D3A239136,systemuser,# svc-EntDqtCrm-DM1,NULL,2020-11-26 15:30:17.0000000,55790CD0-C83B-E311-82EC-005056B1356A,NULL,NULL,NULL,14,2013-10-23 09:52:32.0000000,NULL,28994223,2020-11-26 15:30:17.0000000,NULL,NULL,# svc-EntDqtCrm-DM1,NULL,Prohibition Order  -  serious professional incompetence  -  Ineligible to reapply,A5A,NULL,NULL
